birth, death, alpha
0.41934352, 0.04852921, 0.55698916
0.50488701, 0.04601771, 0.57492628
0.13399579, 0.04033201, 0.42045737
0.21032459, 0.05518216, 0.44429224
0.18423753, 0.04304298, 0.46063463
0.19688463, 0.04830344, 0.45180942
0.29424296, 0.0450718 , 0.50993939
0.23202876, 0.04023362, 0.48664477
0.15620926, 0.04623929, 0.42488975
0.23496011, 0.05333983, 0.45105651
0.40147568, 0.04951101, 0.53367945
0.19281528, 0.03591899, 0.48439945
0.46561679, 0.0523    , 0.55184922
0.12567678, 0.03993165, 0.39971178
0.27085249, 0.06177072, 0.45773535
0.30417867, 0.0536185 , 0.4934141
0.326585  , 0.06841906, 0.45979207
0.16006202, 0.04285014, 0.44403646
0.09008256, 0.04005765, 0.36847309
0.42905788, 0.04607862, 0.56920904
0.41833804, 0.04783876, 0.55604828
0.10289831, 0.03975725, 0.38926973
0.36099634, 0.04949415, 0.5270425 
0.6136989 , 0.04104944, 0.652394
0.21006208, 0.04047968, 0.47978656
0.48294259, 0.05443865, 0.55086841
0.65611339, 0.05186106, 0.61577523
0.35818399, 0.04562534, 0.5320082 
0.19774264, 0.04847313, 0.451774
0.12349349, 0.03897866, 0.42088431
0.24802316, 0.04888464, 0.46340087
0.56746446, 0.04178459, 0.60100308
0.11334346, 0.04159159, 0.39664949
0.20848013, 0.04935908, 0.46622465
0.30542288, 0.04972493, 0.49495
0.33359467, 0.04941893, 0.51692418
0.29903062, 0.0546454 , 0.48544153
0.09611411, 0.04131953, 0.38123636
0.30265391, 0.04476923, 0.5258329
0.30444396, 0.05007637, 0.50488638
0.08646896, 0.03701734, 0.37475653
0.14687545, 0.04583583, 0.41589318
0.17143147, 0.0429994 , 0.45403147
0.19672937, 0.05504852, 0.42998927
0.69946209, 0.04582153, 0.65487452
0.11465668, 0.04486117, 0.39421844
0.1073304 , 0.04269756, 0.39877253
0.25395256, 0.05681904, 0.46561094
0.1216071 , 0.0428568 , 0.40515451
0.13444227, 0.04487913, 0.41240962
0.51081544, 0.04988988, 0.58395789
0.20283432, 0.04900792, 0.45395888
0.44511237, 0.04633659, 0.56182085
0.34352752, 0.05719243, 0.30942934
0.3435122 , 0.05718974, 0.62050942
0.62356785, 0.04913273, 0.59131264
0.14685544, 0.04085872, 0.45623441
0.5194269 , 0.05324976, 0.56309361
0.13717738, 0.04361895, 0.42238386
0.21554595, 0.04748436, 0.45911775
0.33126769, 0.11015184, 0.38424548
0.34352752, 0.05719226, 0.30942919
0.24553599, 0.04951919, 0.48894082
0.34352752, 0.05720192, 0.30942919
0.26058405, 0.04869362, 0.48742436
0.12985591, 0.046857  , 0.40026286
0.32184966, 0.0568568 , 0.49946967
0.40017944, 0.05334753, 0.52276417
0.15516857, 0.03540806, 0.46170616
0.56982486, 0.05618697, 0.57012229
0.23072752, 0.04149311, 0.48791487
0.38235207, 0.04608497, 0.54837969
0.26066285, 0.0521842 , 0.47875487
0.1341477 , 0.0477639 , 0.40636408
0.36863268, 0.0518462 , 0.50622385
0.32784645, 0.06134297, 0.49195011
0.52763214, 0.03976567, 0.61272895
0.51156599, 0.05330742, 0.54991262
0.30647   , 0.06634622, 0.47914279
0.29387596, 0.05202894, 0.49333323
0.37992167, 0.05890062, 0.49944219
0.27871039, 0.04869293, 0.48260912
0.12533546, 0.032669  , 0.43632359
0.59825002, 0.04942209, 0.60263245
0.30384719, 0.0458686 , 0.51109213
0.29502315, 0.04826897, 0.47936434
0.46312278, 0.04496012, 0.5716575
0.13968745, 0.04361697, 0.41090317
0.24923736, 0.06173713, 0.45115525
0.25441076, 0.0512567 , 0.47086832
0.34852913, 0.04916367, 0.50760614
0.42427958, 0.04774481, 0.55807557
0.30076108, 0.04132322, 0.51818277
0.37336626, 0.04463598, 0.55863069
0.14596527, 0.0422511 , 0.42544791
0.31388719, 0.04377351, 0.53332303
0.27868762, 0.0354995 , 0.52089423
0.2939242 , 0.0471776 , 0.51490366
0.33574236, 0.04060337, 0.53086702
0.40884232, 0.04297796, 0.54724065
0.2744086 , 0.04492946, 0.49658646
0.10897544, 0.03866445, 0.3974071
0.57665531, 0.04812763, 0.59046522
0.35601879, 0.04837621, 0.538864 
0.27667484, 0.04835665, 0.49582388
0.3005376 , 0.04674085, 0.52584435
0.24422292, 0.04319679, 0.47676015
0.13505349, 0.04356742, 0.4084764 
0.16826616, 0.04219056, 0.45428655
0.41314515, 0.04874788, 0.52743994
0.41025915, 0.04301261, 0.57241641
0.20287841, 0.05695055, 0.44544277
0.15456363, 0.04323482, 0.42876036
0.16402606, 0.04938635, 0.41700474
0.18981539, 0.04186665, 0.45407444
0.24325444, 0.03573616, 0.52947348
0.30460683, 0.05275982, 0.49753157